agencyId,applicationId,agencyName
Integer,Integer,Any 
1,888881,Trendsetters Skill Assessors (TSA) Pvt Ltd,
2,888882,Federation of Indian Women Entrepreneurs (FIWE),
3,888883,Skill Training Assessment Management Partners (STAMP) Ltd.,
4,888884,Ace Assessments Pvt. Ltd.,
5,888885,M S Certification Services Pvt Ltd.
6,888886,India skills Pvt Ltd.,
7,888887,Khwaspuria Advisory Pvt Ltd,
8,888888,CoCubes Technologies Pvt. Ltd.,
9,888889,Balmaan Educational Services Pvt Ltd,
10,8888810,Prima Competencies Private Limited,
11,8888811,Independent Qualitative Assessors Guild (IQAG)�Private Limited,
12,8888812,Navriti Technologies Pvt Ltd,
13,8888813,Virtual Education Trust (VET),
14,8888814,METTL,
15,8888815,Manipal City & Guilds (MCG) Pvt Ltd,
16,8888816,SAMHIT ASSESSMENTS & RESEARCH FOUNDATION,
17,8888817,Confederation of Indian Industry�(CII)�,
18,8888818,Corporate Star Assessments Pvt Ltd ,
